time,PM2.5,PM10,CO,O3,wspd,temp,dwpt
2023-09-18 01:00:00,3.7142857142857144,7.166666666666667,0.25,42.61538461538461,11.320000000000002,15.2,11.5
2023-09-18 02:00:00,3.2857142857142856,7.083333333333333,0.275,36.07692307692308,12.24,14.940000000000001,11.22
2023-09-18 03:00:00,4.142857142857143,7.75,0.25,37.61538461538461,9.52,14.559999999999999,11.1
2023-09-18 04:00:00,4.857142857142857,8.833333333333334,0.3,34.53846153846154,9.16,14.02,11.26
2023-09-18 05:00:00,6.0,11.75,0.35,23.923076923076923,7.039999999999999,13.4,11.14
2023-09-18 06:00:00,5.0,13.833333333333334,0.4,18.416666666666668,7.62,13.36,11.58
2023-09-18 07:00:00,5.857142857142857,16.166666666666668,0.35,25.916666666666668,9.14,13.36,11.78
2023-09-18 08:00:00,4.857142857142857,14.75,0.35,37.0,7.88,13.76,12.66
2023-09-18 09:00:00,5.571428571428571,14.25,0.3,47.25,10.6,14.64,12.9
2023-09-18 10:00:00,5.142857142857143,12.272727272727273,0.275,59.25,10.32,15.98,13.459999999999999
2023-09-18 11:00:00,4.285714285714286,9.909090909090908,0.3,66.0,12.4,16.78,13.16
2023-09-18 12:00:00,7.833333333333333,13.090909090909092,0.3,68.07692307692308,9.959999999999999,18.06,13.38
2023-09-18 13:00:00,6.166666666666667,11.090909090909092,0.275,67.84615384615384,10.24,18.82,12.940000000000001
2023-09-18 14:00:00,4.833333333333333,9.363636363636363,0.275,67.0,11.68,19.619999999999997,13.419999999999998
2023-09-18 15:00:00,4.0,8.363636363636363,0.275,66.15384615384616,12.540000000000001,20.0,12.86
2023-09-18 16:00:00,3.8333333333333335,7.454545454545454,0.3,63.23076923076923,11.52,20.52,13.48
2023-09-18 17:00:00,3.5,6.0,0.325,57.30769230769231,13.48,20.419999999999998,12.86
2023-09-18 18:00:00,3.3333333333333335,6.818181818181818,0.35,42.76923076923077,12.4,20.2,12.379999999999999
2023-09-18 19:00:00,3.8333333333333335,9.545454545454545,0.45,31.46153846153846,8.6,20.259999999999998,12.3
2023-09-18 20:00:00,4.666666666666667,10.727272727272727,0.45,22.692307692307693,7.74,19.16,13.040000000000001
2023-09-18 21:00:00,4.571428571428571,10.833333333333334,0.45,18.076923076923077,7.0,18.04,13.12
2023-09-18 22:00:00,4.714285714285714,10.5,0.42500000000000004,13.0,6.0,17.14,12.8
2023-09-18 23:00:00,5.666666666666667,11.545454545454545,0.42500000000000004,12.846153846153847,5.46,16.18,12.64
2023-09-19 00:00:00,7.5,11.363636363636363,0.45,8.384615384615385,3.6799999999999997,15.120000000000001,12.6
2023-09-19 01:00:00,7.166666666666667,10.090909090909092,0.425,6.538461538461538,4.959999999999999,14.24,12.7
2023-09-19 02:00:00,4.714285714285714,9.0,0.35,6.6923076923076925,5.26,13.680000000000001,12.440000000000001
2023-09-19 03:00:00,5.857142857142857,10.25,0.3,7.230769230769231,4.54,13.059999999999999,12.2
2023-09-19 04:00:00,7.333333333333333,11.0,0.35,6.384615384615385,3.8200000000000003,12.98,12.0
2023-09-19 05:00:00,5.666666666666667,11.545454545454545,0.4,4.3076923076923075,4.5200000000000005,12.72,12.1
2023-09-19 06:00:00,7.166666666666667,15.818181818181818,0.4666666666666666,4.461538461538462,4.1,12.459999999999999,11.959999999999999
2023-09-19 07:00:00,8.0,16.9,0.5333333333333333,10.666666666666666,5.42,12.2,11.780000000000001
2023-09-19 08:00:00,9.166666666666666,18.9,0.43333333333333335,25.333333333333332,4.32,12.559999999999999,11.86
2023-09-19 09:00:00,10.333333333333334,19.454545454545453,0.3333333333333333,44.333333333333336,5.4,13.76,12.7
2023-09-19 10:00:00,8.166666666666666,15.636363636363637,0.2333333333333333,60.0,4.76,15.88,13.38
2023-09-19 11:00:00,6.0,13.0,0.2333333333333333,70.66666666666667,7.08,18.04,13.940000000000001
2023-09-19 12:00:00,5.833333333333333,9.454545454545455,0.2333333333333333,81.91666666666667,6.56,19.84,13.680000000000001
2023-09-19 13:00:00,5.0,7.555555555555555,0.25,88.46153846153847,4.9799999999999995,21.28,12.8
2023-09-19 14:00:00,3.0,8.666666666666666,0.25,90.92307692307692,5.12,22.34,12.379999999999999
2023-09-19 15:00:00,6.0,10.7,0.25,93.53846153846153,6.2,23.080000000000002,10.98
2023-09-19 16:00:00,6.5,11.333333333333334,0.275,93.07692307692308,4.68,22.84,10.42
2023-09-19 17:00:00,5.142857142857143,12.083333333333334,0.325,91.07692307692308,4.24,23.52,9.879999999999999
2023-09-19 18:00:00,7.0,14.416666666666666,0.425,69.23076923076923,6.08,23.3,10.22
2023-09-19 19:00:00,9.285714285714286,19.166666666666668,0.45,48.38461538461539,5.96,23.16,10.32
2023-09-19 20:00:00,9.142857142857142,20.166666666666668,0.45,44.07692307692308,5.08,21.16,11.440000000000001
2023-09-19 21:00:00,10.428571428571429,17.333333333333332,0.425,43.69230769230769,10.540000000000001,18.54,12.0
2023-09-19 22:00:00,10.285714285714286,14.916666666666666,0.4,43.38461538461539,7.4799999999999995,17.580000000000002,12.48
2023-09-19 23:00:00,7.571428571428571,11.333333333333334,0.3,47.61538461538461,7.959999999999999,16.22,12.24
2023-09-20 00:00:00,5.833333333333333,7.333333333333333,0.25,46.15384615384615,6.5,15.84,11.98
2023-09-20 01:00:00,4.142857142857143,6.25,0.25,47.92307692307692,6.42,15.02,12.14
2023-09-20 02:00:00,3.7142857142857144,7.083333333333333,0.25,39.61538461538461,5.38,14.26,12.24
2023-09-20 03:00:00,5.285714285714286,8.416666666666666,0.2,30.23076923076923,5.459999999999999,13.74,11.7
2023-09-20 04:00:00,5.857142857142857,9.0,0.25,21.23076923076923,3.9,13.080000000000002,11.58
2023-09-20 05:00:00,5.666666666666667,11.083333333333334,0.3,12.384615384615385,4.159999999999999,12.72,11.4
2023-09-20 06:00:00,8.333333333333334,17.454545454545453,0.4666666666666666,8.166666666666666,4.840000000000001,12.540000000000001,11.4
2023-09-20 07:00:00,12.5,23.363636363636363,0.5,12.166666666666666,4.1,12.1,11.18
2023-09-20 08:00:00,11.428571428571429,25.75,0.4000000000000001,23.166666666666668,3.66,12.02,11.459999999999999
2023-09-20 09:00:00,16.714285714285715,28.916666666666668,0.3666666666666667,34.166666666666664,4.32,13.419999999999998,12.02
2023-09-20 10:00:00,15.428571428571429,27.0,0.26666666666666666,51.416666666666664,1.3,15.74,12.440000000000001
2023-09-20 11:00:00,13.142857142857142,22.5,0.275,86.25,3.5200000000000005,17.2,13.26
2023-09-20 12:00:00,6.833333333333333,14.181818181818182,0.25,99.0,5.18,19.86,13.14
2023-09-20 13:00:00,6.666666666666667,13.181818181818182,0.25,99.91666666666667,12.84,21.48,12.4
2023-09-20 14:00:00,6.166666666666667,12.363636363636363,0.25,102.66666666666667,18.880000000000003,23.22,10.8
2023-09-20 15:00:00,8.142857142857142,12.583333333333334,0.225,103.91666666666667,24.2,23.46,10.4
2023-09-20 16:00:00,6.714285714285714,10.166666666666666,0.275,105.33333333333333,22.68,23.759999999999998,9.66
2023-09-20 17:00:00,6.142857142857143,11.166666666666666,0.25,103.58333333333333,24.759999999999998,23.5,8.940000000000001
2023-09-20 18:00:00,7.0,11.75,0.325,94.25,23.46,23.619999999999997,9.120000000000001
2023-09-20 19:00:00,8.0,12.416666666666666,0.3,86.0,21.880000000000003,22.759999999999998,9.36
2023-09-20 20:00:00,7.571428571428571,11.583333333333334,0.25,85.25,18.16,21.4,9.02
2023-09-20 21:00:00,6.428571428571429,10.333333333333334,0.225,82.25,16.240000000000002,19.54,8.540000000000001
2023-09-20 22:00:00,5.428571428571429,8.833333333333334,0.25,79.0,17.06,18.68,7.68
2023-09-20 23:00:00,5.0,8.083333333333334,0.2,75.5,15.0,17.759999999999998,7.720000000000001
2023-09-21 00:00:00,4.285714285714286,7.25,0.2,70.0,14.2,17.28,7.659999999999999
2023-09-21 01:00:00,4.714285714285714,7.0,0.2,67.33333333333333,12.6,16.56,7.3
2023-09-21 02:00:00,4.428571428571429,6.75,0.2,72.58333333333333,15.14,15.84,7.9799999999999995
2023-09-21 03:00:00,4.0,6.833333333333333,0.2,72.83333333333333,14.939999999999998,14.98,9.32
2023-09-21 04:00:00,3.7142857142857144,7.416666666666667,0.225,66.91666666666667,16.7,14.62,10.22
2023-09-21 05:00:00,5.571428571428571,9.083333333333334,0.225,55.916666666666664,17.64,14.64,10.9
2023-09-21 06:00:00,4.666666666666667,8.916666666666666,0.275,49.916666666666664,17.740000000000002,14.26,11.4
2023-09-21 07:00:00,5.0,10.583333333333334,0.25,53.0,19.72,14.080000000000002,11.66
2023-09-21 08:00:00,5.0,9.916666666666666,0.225,58.666666666666664,21.02,14.02,11.78
2023-09-21 09:00:00,3.142857142857143,8.416666666666666,0.225,59.0,20.66,14.580000000000002,11.9
2023-09-21 10:00:00,4.142857142857143,8.916666666666666,0.225,61.25,27.360000000000003,15.1,12.02
2023-09-21 11:00:00,4.285714285714286,9.083333333333334,0.275,58.583333333333336,26.2,15.66,6.26
2023-09-21 12:00:00,6.571428571428571,8.166666666666666,0.225,60.583333333333336,28.439999999999998,16.759999999999998,11.940000000000001
2023-09-21 13:00:00,5.428571428571429,9.166666666666666,0.225,62.5,24.9,16.880000000000003,12.08
2023-09-21 14:00:00,4.0,7.454545454545454,0.225,60.666666666666664,25.76,16.52,13.319999999999999
2023-09-21 15:00:00,5.833333333333333,8.727272727272727,0.275,55.25,23.759999999999998,18.06,13.24
2023-09-21 16:00:00,6.0,8.0,0.26666666666666666,56.25,26.860000000000003,18.96,13.580000000000002
2023-09-21 17:00:00,6.0,6.833333333333333,0.25,58.0,25.26,18.2,14.319999999999999
2023-09-21 18:00:00,2.5,5.5,0.325,61.416666666666664,27.22,19.16,14.0
2023-09-21 19:00:00,4.428571428571429,7.833333333333333,0.3333333333333333,59.0,20.94,18.94,13.719999999999999
2023-09-21 20:00:00,5.333333333333333,8.166666666666666,0.3,63.75,17.419999999999998,17.880000000000003,12.620000000000001
2023-09-21 21:00:00,3.142857142857143,6.666666666666667,0.275,69.0,13.6,16.98,11.68
2023-09-21 22:00:00,3.3333333333333335,5.818181818181818,0.275,70.33333333333333,14.720000000000002,16.82,11.16
2023-09-21 23:00:00,3.142857142857143,6.0,0.225,71.36363636363636,15.339999999999998,16.4,10.84
2023-09-22 00:00:00,2.4285714285714284,5.5,0.225,70.41666666666667,14.139999999999997,15.76,9.9
2023-09-22 01:00:00,2.2857142857142856,5.166666666666667,0.225,69.41666666666667,14.34,15.080000000000002,8.18
2023-09-22 02:00:00,1.8571428571428572,4.333333333333333,0.2,68.41666666666667,15.040000000000001,13.98,7.74
2023-09-22 03:00:00,1.6666666666666667,3.8333333333333335,0.2,66.5,14.680000000000001,13.319999999999999,7.540000000000001
2023-09-22 04:00:00,3.0,4.916666666666667,0.225,62.25,11.9,12.66,7.32
2023-09-22 05:00:00,3.142857142857143,7.083333333333333,0.225,47.916666666666664,10.940000000000001,12.0,7.12
2023-09-22 06:00:00,3.2857142857142856,10.25,0.4,36.72727272727273,11.440000000000001,11.1,6.8
2023-09-22 07:00:00,3.2857142857142856,12.166666666666666,0.325,41.27272727272727,12.819999999999999,10.92,6.859999999999999
2023-09-22 08:00:00,4.571428571428571,11.833333333333334,0.325,56.54545454545455,14.540000000000001,10.959999999999999,6.56
2023-09-22 09:00:00,3.0,8.25,0.25,63.72727272727273,12.459999999999999,11.559999999999999,7.12
2023-09-22 10:00:00,4.142857142857143,8.166666666666666,0.225,66.75,13.540000000000001,13.86,7.0
2023-09-22 11:00:00,3.2857142857142856,7.25,0.25,73.36363636363636,12.2,15.34,7.0
2023-09-22 12:00:00,3.857142857142857,6.75,0.25,76.33333333333333,12.959999999999999,16.28,7.12
2023-09-22 13:00:00,4.285714285714286,6.833333333333333,0.25,79.23076923076923,10.16,17.619999999999997,6.640000000000001
